,0
2015-01-01,0.0
2015-01-03,0.2
2015-01-08,0.4
2015-01-09,0.3681818181818182
2015-01-11,0.0
2015-01-19,0.0
2015-01-23,0.8
2015-01-24,0.06818181818181818
2015-01-25,0.3
2015-02-16,0.5
2015-02-17,0.0
2015-02-23,0.175
2015-02-24,0.43333333333333335
2015-02-25,0.0
2015-03-02,0.8
2015-03-07,0.0
2015-03-09,0.3666666666666667
2015-03-27,0.25
2015-03-30,-0.78
2015-04-08,0.2
2015-04-10,0.4625
2015-04-15,0.65
2015-04-18,0.13636363636363635
2015-04-20,0.5
2015-04-22,0.5
2015-04-23,1.0
2015-04-24,0.2681818181818182
2015-04-26,-0.75
2015-04-27,0.25
2015-04-30,0.13636363636363635
2015-05-15,0.0
2015-05-17,0.4
2015-05-25,0.0
2015-06-08,0.0
2015-06-17,0.6000000000000001
2015-06-21,-0.07500000000000001
2015-06-26,-0.3
2015-06-29,0.8
2015-07-04,0.5666666666666668
2015-07-06,0.8
2015-07-14,0.2681818181818182
2015-07-24,0.0
2015-07-30,0.13636363636363635
2015-07-31,0.8
2015-08-11,0.0
2015-08-12,0.425
2015-08-14,0.0
2015-08-16,-0.05
2015-08-25,0.65
2015-08-29,0.5
2015-09-01,0.39999999999999997
2015-09-04,0.1
2015-09-09,-0.2
2015-09-10,0.0
2015-09-15,0.5
2015-09-19,0.0
2015-09-25,0.24545454545454548
2015-09-29,0.2
2015-10-03,0.5
2015-10-05,0.44999999999999996
2015-10-08,0.45
2015-10-12,0.0
2015-10-16,0.0
2015-10-22,0.5
2015-11-08,0.5
2015-11-09,0.46666666666666673
2015-11-10,0.5333333333333333
2015-11-11,0.5
2015-11-12,0.325
2015-11-14,0.7
2015-11-26,0.4
2015-11-29,0.46666666666666673
2015-12-01,0.0
2015-12-08,0.25
2015-12-09,0.0
2015-12-12,0.38333333333333336
2015-12-22,0.033333333333333326
2015-12-25,0.0
2015-12-27,0.4
2015-12-30,0.4
2016-01-01,0.16666666666666669
2016-01-09,0.0
2016-01-18,0.55
2016-01-21,-0.1
2016-01-22,0.5
2016-02-08,0.6000000000000001
2016-02-15,0.8
2016-02-19,0.0
2016-02-24,0.0
2016-03-03,0.3181818181818182
2016-03-17,0.5
2016-03-21,0.3333333333333333
2016-03-22,0.0
2016-03-31,0.2787878787878788
2016-04-02,0.13333333333333333
2016-04-14,0.65
2016-04-18,0.15
2016-04-19,0.3181818181818182
2016-04-21,0.24318181818181817
2016-04-22,1.0
2016-05-05,0.13636363636363635
2016-05-16,0.0
2016-05-17,0.41818181818181815
2016-05-18,0.45999999999999996
2016-05-20,0.3181818181818182
2016-05-21,0.3111111111111111
2016-05-23,-0.2333333333333333
2016-05-24,0.8
2016-05-29,0.5
2016-05-30,0.0
2016-06-04,0.0
2016-06-12,0.0
2016-06-16,0.8
2016-06-26,0.8
2016-06-28,0.0
2016-07-04,0.3875
2016-07-08,0.13636363636363635
2016-07-10,0.75
2016-07-14,0.6
2016-07-22,1.0
2016-07-31,0.27878787878787875
2016-08-03,0.15
2016-08-07,0.6000000000000001
2016-08-24,0.0
2016-09-02,0.0
2016-09-07,0.2
2016-09-08,0.0
2016-09-11,0.25
2016-09-12,0.0
2016-09-14,0.5
2016-09-15,0.41666666666666663
2016-09-16,0.5
2016-09-17,1.0
2016-09-25,0.0
2016-09-28,0.48750000000000004
2016-10-01,0.2
2016-10-05,0.4666666666666666
2016-10-07,0.6000000000000001
2016-10-08,0.0
2016-10-10,0.0
2016-10-13,0.0
2016-10-15,0.0
2016-10-17,0.0909090909090909
2016-10-27,0.13636363636363635
2016-10-28,0.13636363636363635
2016-10-30,0.6
2016-11-11,0.65
2016-11-24,0.6333333333333334
2016-12-01,0.4
2016-12-03,0.0
2016-12-09,0.5
2016-12-10,0.0
2016-12-24,0.43333333333333335
2017-01-01,0.7
2017-01-10,0.3888888888888889
2017-01-13,0.5
2017-01-16,0.55
2017-01-18,0.4454545454545455
2017-01-27,0.8
2017-01-28,0.0
2017-02-05,0.0
2017-02-06,0.5
2017-02-07,0.18333333333333335
2017-02-08,0.8
2017-02-09,0.25
2017-02-10,0.4773809523809524
2017-02-21,0.5
2017-02-22,0.0
2017-02-24,0.0
2017-03-05,0.0
2017-03-08,0.0
2017-03-17,0.8
2017-03-19,0.0
2017-03-22,0.0
2017-03-24,0.22391774891774893
2017-04-03,0.0
2017-04-06,0.44999999999999996
2017-04-07,0.0
2017-04-09,0.0
2017-04-15,0.2871428571428571
2017-04-16,0.8
2017-04-21,0.04545454545454545
2017-04-22,0.3314285714285715
2017-04-28,0.38409090909090904
2017-05-14,0.2
2017-05-18,0.5
2017-05-19,0.4
2017-05-20,0.0
2017-05-21,0.5
2017-05-23,-0.375
2017-05-25,0.20378787878787877
2017-05-26,0.0
2017-05-27,0.0
2017-05-29,0.0
2017-06-01,0.6666666666666666
2017-06-02,-0.5
2017-06-04,0.7
2017-06-05,0.09999999999999999
2017-06-06,0.5
2017-06-08,0.4454545454545454
2017-06-09,0.5666666666666668
2017-06-10,0.25
2017-06-11,0.25
2017-06-14,0.40909090909090906
2017-06-18,0.8
2017-06-19,-0.8
2017-06-21,-0.1
2017-06-24,0.75
2017-06-25,0.8
2017-06-26,0.1
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.65
2017-07-01,0.8
2017-07-04,0.8
2017-07-11,-0.75
2017-07-15,0.11818181818181818
2017-07-17,0.31212121212121213
2017-07-22,0.55
2017-07-26,0.0
2017-08-03,0.8
2017-08-05,0.2
2017-08-12,0.0
2017-08-14,0.0
2017-08-17,0.0
2017-08-22,0.75
2017-08-24,0.8
2017-08-25,0.3072727272727273
2017-08-26,0.4666666666666666
2017-08-27,0.0
2017-09-03,0.0
2017-09-05,0.2
2017-09-07,0.4
2017-09-08,0.65
2017-09-12,0.2833333333333333
2017-09-19,0.0
2017-09-20,0.8
2017-09-21,0.0
2017-09-22,0.19318181818181818
2017-09-23,0.29090909090909095
2017-09-28,0.2619047619047619
2017-09-29,0.25
2017-09-30,0.0
2017-10-02,0.7
2017-10-03,0.8
2017-10-05,0.75
2017-10-06,0.25
2017-10-09,0.0
2017-10-10,0.5
2017-10-11,0.44000000000000006
2017-10-12,1.0
2017-10-13,0.6666666666666666
2017-10-16,0.5
